Bordereau_Date|MGA_CODE|Policy_Number|Policy_Effective_Date|Policy_Expiration_Date|Tax_Surcharge_State|Tax_Surchage_Code|Tax_Surchage_Amount|TFS_Amount_Currency|Endorsement_Sequence_Number|Starr_Collectible_Ind
2015-07-31|M01001|SIGCP11856|2015-07-06|2016-07-06|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGCP11887|2015-07-21|2016-07-21|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGUM11893|2015-07-06|2016-07-06|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP11939|2015-07-25|2016-07-25|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP11983|2015-07-24|2016-07-24|NJ|10016|19.00|USD|0|101
2015-07-31|M01001|SIGBR13484|2015-07-01|2016-07-01|NJ|10016|340.00|USD|0|101
2015-07-31|M01001|SIGBR13484|2014-07-01|2015-07-01|NJ|10016|1.00|USD|0|101
2015-07-31|M01001|SIGBR13484|2015-07-01|2016-07-01|NJ|10016|2.00|USD|0|101
2015-07-31|M01001|SIGCP13503|2015-07-19|2016-07-19|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGB13525|2015-07-12|2016-07-12|NJ|10016|26.00|USD|0|101
2015-07-31|M01001|SIGB13580|2015-07-05|2016-07-05|NJ|10016|37.00|USD|0|101
2015-07-31|M01001|SIGCA13581|2015-07-05|2016-07-05|NJ|10016|103.00|USD|0|101
2015-07-31|M01001|SIGB13582|2015-07-29|2016-07-29|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB13601|2015-07-22|2016-07-22|NJ|10016|39.00|USD|0|101
2015-07-31|M01001|SIGCP13639|2015-07-30|2016-07-30|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCA13640|2015-07-30|2016-07-30|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGGL14166|2015-07-07|2016-07-07|NJ|10016|118.00|USD|0|101
2015-07-31|M01001|SIGGL14171|2015-07-23|2016-07-23|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGCM14484|2015-07-01|2016-07-01|NJ|10016|46.00|USD|0|101
2015-07-31|M01001|SIGCM14486|2015-07-01|2016-07-01|NJ|10016|18.00|USD|0|101
2015-07-31|M01001|SIGB15766|2015-07-10|2016-07-10|NJ|10016|53.00|USD|0|101
2015-07-31|M01001|SIGB15767|2015-07-29|2016-07-29|NJ|10016|34.00|USD|0|101
2015-07-31|M01001|SIGCP15786|2015-07-10|2016-07-10|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCA15787|2015-07-10|2016-07-10|NJ|10016|18.00|USD|0|101
2015-07-31|M01001|SIGB15788|2015-07-21|2016-07-21|NJ|10016|21.00|USD|0|101
2015-07-31|M01001|SIGB15964|2015-07-16|2016-07-16|NJ|10016|35.00|USD|0|101
2015-07-31|M01001|SIGB16586|2015-03-11|2016-03-11|NJ|10016|1.00|USD|0|101
2015-07-31|M01001|SIGCP16914|2015-07-01|2016-07-01|NJ|10016|77.00|USD|0|101
2015-07-31|M01001|SIGB16936|2015-07-01|2016-07-01|NJ|10016|21.00|USD|0|101
2015-07-31|M01001|SIGB16941|2015-07-01|2016-07-01|NJ|10016|38.00|USD|0|101
2015-07-31|M01001|SIGB16994|2015-07-20|2016-07-20|NJ|10016|36.00|USD|0|101
2015-07-31|M01001|SIGB16996|2015-07-15|2016-07-15|NJ|10016|58.00|USD|0|101
2015-07-31|M01001|SIGCP16998|2015-07-18|2016-07-18|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCM17177|2015-07-28|2016-07-28|NJ|10016|56.00|USD|0|101
2015-07-31|M01001|SIGCM17182|2015-07-30|2016-07-30|NJ|10016|177.00|USD|0|101
2015-07-31|M01001|SIGCF17445|2015-07-01|2016-07-01|NJ|10016|57.00|USD|0|101
2015-07-31|M01001|SIGCM17455|2015-07-19|2016-07-19|NJ|10016|170.00|USD|0|101
2015-07-31|M01001|SIGCM17464|2015-07-29|2016-07-29|NJ|10016|63.00|USD|0|101
2015-07-31|M01001|SIGCM17464|2015-07-29|2016-07-29|NJ|10016|-1.00|USD|1|101
2015-07-31|M01001|SIGCM17469|2015-07-27|2016-07-27|NJ|10016|102.00|USD|0|101
2015-07-31|M01001|SIGCM17476|2015-07-26|2016-07-26|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGB17504|2015-07-19|2016-07-19|NJ|10016|35.00|USD|0|101
2015-07-31|M01001|SIGUM17513|2015-07-30|2016-07-30|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGCP17519|2015-07-19|2016-07-19|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM18109|2015-07-15|2016-07-15|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP18122|2013-11-29|2014-11-29|NJ|10016|-4.00|USD|2|101
2015-07-31|M01001|SIGCP18714|2014-04-22|2015-04-22|NJ|10016|-6.00|USD|2|101
2015-07-31|M01001|SIGCP18833|2014-05-23|2015-05-23|NJ|10016|2.00|USD|1|101
2015-07-31|M01001|SIGCP19037|2015-07-01|2016-07-01|NJ|10016|22.00|USD|0|101
2015-07-31|M01001|SIGB19082|2015-07-15|2016-07-15|NJ|10016|84.00|USD|0|101
2015-07-31|M01001|SIGB19082|2015-07-15|2016-07-15|NJ|10016|-2.00|USD|0|101
2015-07-31|M01001|SIGBR19095|2015-07-21|2016-07-21|NJ|10016|42.00|USD|0|101
2015-07-31|M01001|SIGCA19120|2015-07-08|2016-07-08|NJ|10016|53.00|USD|0|101
2015-07-31|M01001|SIGCP19130|2015-07-18|2016-07-18|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP19150|2015-07-25|2016-07-25|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGBR19168|2015-07-29|2016-07-29|NJ|10016|34.00|USD|0|101
2015-07-31|M01001|SIGUM19180|2015-07-27|2016-07-27|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP19184|2015-07-27|2016-07-27|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP19567|2013-10-31|2014-10-31|NJ|10016|-12.00|USD|3|101
2015-07-31|M01001|SIGCA19899|2015-01-11|2016-01-11|NJ|10016|-3.00|USD|0|101
2015-07-31|M01001|SIGCA19899|2015-01-11|2016-01-11|NJ|10016|-14.00|USD|0|101
2015-07-31|M01001|SIGCM20263|2015-07-14|2016-07-14|NJ|10016|21.00|USD|0|101
2015-07-31|M01001|SIGCM20264|2015-07-10|2016-07-10|NJ|10016|48.00|USD|0|101
2015-07-31|M01001|SIGCF20267|2015-07-17|2016-07-17|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGCM20271|2015-07-25|2016-07-25|NJ|10016|56.00|USD|0|101
2015-07-31|M01001|SIGCM20277|2015-07-31|2016-07-31|NJ|10016|409.00|USD|0|101
2015-07-31|M01001|SIGCM20299|2014-09-26|2015-09-26|NJ|10016|3.00|USD|2|101
2015-07-31|M01001|SIGCM20454|2015-03-21|2016-03-21|NJ|10016|4.00|USD|5|101
2015-07-31|M01001|SIGCP21044|2014-04-28|2015-04-28|NJ|10016|12.00|USD|1|101
2015-07-31|M01001|SIGCP21301|2014-06-28|2015-06-28|NJ|10016|1.00|USD|2|101
2015-07-31|M01001|SIGB21331|2015-07-08|2016-07-08|NJ|10016|36.00|USD|0|101
2015-07-31|M01001|SIGB21333|2015-07-08|2016-07-08|NJ|10016|73.00|USD|0|101
2015-07-31|M01001|SIGUM21335|2015-07-08|2016-07-08|NJ|10016|16.00|USD|0|101
2015-07-31|M01001|SIGUM21336|2015-07-08|2016-07-08|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGCP21348|2015-07-07|2016-07-07|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP21385|2015-07-05|2016-07-05|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB21386|2015-07-11|2016-07-11|NJ|10016|47.00|USD|0|101
2015-07-31|M01001|SIGCP21389|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP21413|2015-07-12|2016-07-12|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGB21420|2015-07-02|2016-07-02|NJ|10016|18.00|USD|0|101
2015-07-31|M01001|SIGB21455|2015-07-21|2016-07-21|NJ|10016|126.00|USD|0|101
2015-07-31|M01001|SIGUM21457|2015-07-21|2016-07-21|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP21469|2015-07-21|2016-07-21|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGBR21471|2015-07-17|2016-07-17|NJ|10016|99.00|USD|0|101
2015-07-31|M01001|SIGCP21492|2015-07-24|2016-07-24|NJ|10016|38.00|USD|0|101
2015-07-31|M01001|SIGB21987|2014-10-28|2015-10-28|NJ|10016|2.00|USD|0|101
2015-07-31|M01001|SIGB22606|2015-03-15|2016-03-15|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGCP22831|2014-04-27|2015-04-27|NJ|10016|13.00|USD|1|101
2015-07-31|M01001|SIGCP22831|2015-04-27|2016-04-27|NJ|10016|14.00|USD|2|101
2015-07-31|M01001|SIGCP22875|2014-05-19|2015-05-19|NJ|10016|16.00|USD|2|101
2015-07-31|M01001|SIGCM23052|2015-07-04|2016-07-04|NJ|10016|383.00|USD|0|101
2015-07-31|M01001|SIGCM23053|2015-07-01|2016-07-01|NJ|10016|24.00|USD|0|101
2015-07-31|M01001|SIGCM23062|2015-07-17|2016-07-17|NJ|10016|25.00|USD|0|101
2015-07-31|M01001|SIGGL23064|2015-07-01|2016-07-01|NJ|10016|62.00|USD|0|101
2015-07-31|M01001|SIGGL23065|2015-07-03|2016-07-03|NJ|10016|150.00|USD|0|101
2015-07-31|M01001|SIGCM23069|2015-07-19|2016-07-19|NJ|10016|52.00|USD|0|101
2015-07-31|M01001|SIGCM23079|2015-07-30|2016-07-30|NJ|10016|39.00|USD|0|101
2015-07-31|M01001|SIGCM23084|2015-07-09|2016-07-09|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGCF23086|2015-07-30|2016-07-30|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCM23090|2015-07-29|2016-07-29|NJ|10016|70.00|USD|0|101
2015-07-31|M01001|SIGCM23274|2014-06-01|2015-06-01|NJ|10016|-17.00|USD|2|101
2015-07-31|M01001|SIGCM23297|2015-07-03|2016-07-03|NJ|10016|350.00|USD|0|101
2015-07-31|M01001|SIGCM23299|2015-07-02|2016-07-02|NJ|10016|25.00|USD|0|101
2015-07-31|M01001|SIGCP23511|2014-05-21|2015-05-21|NJ|10016|1.00|USD|1|101
2015-07-31|M01001|SIGCP23671|2015-07-02|2016-07-02|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP23748|2015-07-01|2016-07-01|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP23758|2015-07-14|2016-07-14|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP23762|2015-07-01|2016-07-01|NJ|10016|266.00|USD|0|101
2015-07-31|M01001|SIGUM23765|2015-07-01|2016-07-01|NJ|10016|40.00|USD|0|101
2015-07-31|M01001|SIGBC23777|2015-07-01|2016-07-01|NJ|10016|103.00|USD|0|101
2015-07-31|M01001|SIGUM23778|2015-07-01|2016-07-01|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGUM23780|2015-07-04|2016-07-04|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGCP23781|2015-07-09|2016-07-09|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP23796|2015-07-12|2016-07-12|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP23807|2015-07-22|2016-07-22|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGB23808|2015-07-20|2016-07-20|NJ|10016|81.00|USD|0|101
2015-07-31|M01001|SIGCP23812|2015-07-12|2016-07-12|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGUM23816|2015-07-17|2016-07-17|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCA23843|2015-07-03|2016-07-03|NJ|10016|41.00|USD|0|101
2015-07-31|M01001|SIGCP23844|2015-07-18|2016-07-18|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP23844|2015-07-18|2016-07-18|NJ|10016|69.00|USD|1|101
2015-07-31|M01001|SIGCP23850|2015-07-14|2016-07-14|NJ|10016|40.00|USD|0|101
2015-07-31|M01001|SIGCP23864|2015-07-17|2016-07-17|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCP23871|2015-07-19|2016-07-19|NJ|10016|16.00|USD|0|101
2015-07-31|M01001|SIGB23881|2015-07-25|2016-07-25|NJ|10016|48.00|USD|0|101
2015-07-31|M01001|SIGCP23889|2015-07-24|2016-07-24|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGB23976|2014-08-15|2015-08-15|NJ|10016|-1.00|USD|0|101
2015-07-31|M01001|SIGB24293|2014-11-05|2015-11-05|NJ|10016|4.00|USD|0|101
2015-07-31|M01001|SIGCA24739|2015-01-31|2016-01-31|NJ|10016|-1.00|USD|0|101
2015-07-31|M01001|SIGCP24986|2015-04-13|2016-04-13|NJ|10016|32.00|USD|1|101
2015-07-31|M01001|SIGCP25222|2014-05-09|2015-05-09|NJ|10016|9.00|USD|1|101
2015-07-31|M01001|SIGCP25222|2015-05-09|2016-05-09|NJ|10016|10.00|USD|1|101
2015-07-31|M01001|SIGCP25352|2014-06-06|2015-06-06|NJ|10016|-8.00|USD|1|101
2015-07-31|M01001|SIGB25418|2015-07-15|2016-07-15|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGCF110001003|2015-07-01|2016-07-01|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCF110001008|2015-07-16|2016-07-16|NJ|10016|157.00|USD|0|101
2015-07-31|M01001|SIGCF110001013|2015-07-26|2016-07-26|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGCF110001014|2015-07-23|2016-07-23|NJ|10016|46.00|USD|0|101
2015-07-31|M01001|SIGGL120000108|2015-07-01|2016-07-01|NJ|10016|115.00|USD|0|101
2015-07-31|M01001|SIGGL120000112|2015-06-25|2016-06-25|NJ|10016|2.00|USD|1|101
2015-07-31|M01001|SIGGL120000113|2015-07-13|2016-07-13|NJ|10016|127.00|USD|0|101
2015-07-31|M01001|SIGGL120000113|2015-07-13|2016-07-13|NJ|10016|4.00|USD|1|101
2015-07-31|M01001|SIGGL120000113|2015-07-13|2016-07-13|NJ|10016|-4.00|USD|2|101
2015-07-31|M01001|SIGGL120000115|2015-07-02|2016-07-02|NJ|10016|100.00|USD|0|101
2015-07-31|M01001|SIGGL120000115|2015-07-02|2016-07-02|NJ|10016|-8.00|USD|1|101
2015-07-31|M01001|SIGGL120001021|2015-07-05|2016-07-05|NJ|10016|117.00|USD|0|101
2015-07-31|M01001|SIGGL120001044|2015-07-12|2016-07-12|NJ|10016|98.00|USD|0|101
2015-07-31|M01001|SIGGL120001061|2015-07-29|2016-07-29|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGGL120001078|2015-07-10|2016-07-10|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGGL120001079|2015-07-30|2016-07-30|NJ|10016|25.00|USD|0|101
2015-07-31|M01001|SIGB500000031|2015-07-19|2016-07-19|NJ|10016|24.00|USD|0|101
2015-07-31|M01001|SIGB500000360|2015-07-31|2016-07-31|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGB500000374|2015-07-01|2016-07-01|NJ|10016|16.00|USD|0|101
2015-07-31|M01001|SIGB500000383|2015-07-22|2016-07-22|NJ|10016|25.00|USD|0|101
2015-07-31|M01001|SIGB500000384|2015-07-05|2016-07-05|NJ|10016|19.00|USD|0|101
2015-07-31|M01001|SIGB500000385|2015-07-26|2016-07-26|NJ|10016|20.00|USD|0|101
2015-07-31|M01001|SIGB500000394|2015-07-31|2016-07-31|NJ|10016|41.00|USD|0|101
2015-07-31|M01001|SIGB500000399|2015-07-31|2016-07-31|NJ|10016|66.00|USD|0|101
2015-07-31|M01001|SIGB500000401|2015-07-08|2016-07-08|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGB500000403|2015-07-17|2016-07-17|NJ|10016|37.00|USD|0|101
2015-07-31|M01001|SIGB500000412|2015-07-25|2016-07-25|NJ|10016|18.00|USD|0|101
2015-07-31|M01001|SIGB500000727|2015-07-01|2016-07-01|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGB500000735|2015-07-01|2016-07-01|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGB500000738|2015-07-13|2016-07-13|NJ|10016|16.00|USD|0|101
2015-07-31|M01001|SIGB500000742|2015-07-31|2016-07-31|NJ|10016|97.00|USD|0|101
2015-07-31|M01001|SIGB500000742|2015-07-31|2016-07-31|NJ|10016|-2.00|USD|0|101
2015-07-31|M01001|SIGB500000744|2015-07-27|2016-07-27|NJ|10016|20.00|USD|0|101
2015-07-31|M01001|SIGB500000750|2015-07-30|2016-07-30|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGB500000760|2015-07-08|2016-07-08|NJ|10016|88.00|USD|0|101
2015-07-31|M01001|SIGB500000985|2015-07-15|2016-07-15|NJ|10016|50.00|USD|0|101
2015-07-31|M01001|SIGB500000989|2015-07-19|2016-07-19|NJ|10016|33.00|USD|0|101
2015-07-31|M01001|SIGB500000993|2015-07-12|2016-07-12|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGB500000996|2015-07-28|2016-07-28|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGB500000996|2015-07-28|2016-07-28|NJ|10016|-2.00|USD|0|101
2015-07-31|M01001|SIGB500002122|2015-07-02|2016-07-02|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGB500002124|2015-07-29|2016-07-29|NJ|10016|42.00|USD|0|101
2015-07-31|M01001|SIGB500002132|2015-07-31|2016-07-31|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGB500002219|2015-07-01|2016-07-01|NJ|10016|30.00|USD|0|101
2015-07-31|M01001|SIGB500002220|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB500002229|2015-07-23|2016-07-23|NJ|10016|35.00|USD|0|101
2015-07-31|M01001|SIGB500002230|2015-07-22|2016-07-22|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB500002231|2015-07-21|2016-07-21|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGB500002356|2015-07-01|2016-07-01|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGB500002360|2015-06-27|2016-06-27|NJ|10016|-3.00|USD|0|101
2015-07-31|M01001|SIGB500002361|2015-07-02|2016-07-02|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGB500002362|2015-07-08|2016-07-08|NJ|10016|38.00|USD|0|101
2015-07-31|M01001|SIGB500002363|2015-07-13|2016-07-13|NJ|10016|43.00|USD|0|101
2015-07-31|M01001|SIGB500002364|2015-07-15|2016-07-15|NJ|10016|38.00|USD|0|101
2015-07-31|M01001|SIGB500002366|2015-07-28|2016-07-28|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGB500002367|2015-07-29|2016-07-29|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGB500002370|2015-07-28|2016-07-28|NJ|10016|16.00|USD|0|101
2015-07-31|M01001|SIGB500002372|2015-07-03|2016-07-03|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB500002434|2015-02-26|2016-02-26|NJ|10016|2.00|USD|0|101
2015-07-31|M01001|SIGB500002442|2015-03-15|2016-03-15|NJ|10016|1.00|USD|0|101
2015-07-31|M01001|SIGB500002482|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB500002486|2015-07-24|2016-07-24|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGB500002487|2015-07-07|2016-07-07|NJ|10016|152.00|USD|0|101
2015-07-31|M01001|SIGB500002491|2015-07-01|2016-07-01|NJ|10016|32.00|USD|0|101
2015-07-31|M01001|SIGB500002492|2015-06-15|2016-06-15|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGB500002492|2015-06-15|2016-06-15|NJ|10016|1.00|USD|0|101
2015-07-31|M01001|SIGB500002493|2015-07-15|2016-07-15|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGB500002494|2015-07-15|2016-07-15|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGB500002495|2015-07-22|2016-07-22|NJ|10016|26.00|USD|0|101
2015-07-31|M01001|SIGB500002496|2015-07-16|2016-07-16|NJ|10016|37.00|USD|0|101
2015-07-31|M01001|SIGBR510000007|2015-07-24|2016-07-24|NJ|10016|54.00|USD|0|101
2015-07-31|M01001|SIGBR510000008|2015-07-24|2016-07-24|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGBR510000102|2015-07-07|2016-07-07|NJ|10016|132.00|USD|0|101
2015-07-31|M01001|SIGBR510000182|2015-07-18|2016-07-18|NJ|10016|200.00|USD|0|101
2015-07-31|M01001|SIGBR510000207|2015-07-07|2016-07-07|NJ|10016|65.00|USD|0|101
2015-07-31|M01001|SIGBR510000208|2015-07-15|2016-07-15|NJ|10016|74.00|USD|0|101
2015-07-31|M01001|SIGBR510000208|2015-07-15|2016-07-15|NJ|10016|7.00|USD|0|101
